Designator,Footprint,Comment
"C49,C45,C50,C47,C51",C_0201_0603Metric,10uF
"R62,R61,R57,R59,R58,R55",R_0201_0603Metric,100k
"R51,R3,R34,R13,R6,R42,R52,R47,R43,R8,R41,R1,R14,R66,R38,R12,R5,R65,R35,R9,R4, R7,R11,R45,R33,R46,R40,R10,R2,R44",R_0201_0603Metric,10k
"C48,C46",C_0201_0603Metric,100nF
"R25,R17,R27,R15,R26,R63,R28,R18,R54,R21,R22,R64,R36,R19,R16,R56,R20",R_0201_0603Metric,1k
"TP7,TP5,TP8,TP6",TestPoint_Loop_D1.80mm_Drill1.0mm_Beaded,
C7,C_0201_0603Metric,0.47uF
"J6,J11,J7,J3",PinHeader_1x04_P2.54mm_Vertical,
IC1,BGA54C80P9X9_800X800X100,MT48LC16M16A2B4-6A_IT_G_TR
D1,SOT-143,PRTR5V0U2X
D3,LED_0603_1608Metric,GREEN
Q1,FDMQ8203,FDMQ86530L
J9,PinHeader_1x03_P2.54mm_Vertical,
"SW2,SW3,SW1",SW_DIP_SPSTx04_Slide_Copal_CHS-04A_W5.08mm_P1.27mm_JPin,
"R48,R50,R49",R_0201_0603Metric,3.0k
U5,SOT95P280X145-6N,AP22652
"D4,D2",D_SOD-323,1N4151WS
"R53,R37",R_0201_0603Metric,47k
Y2,Crystal_SMD_3225-4Pin_3.2x2.5mm,TSX-3225 24.0000MF15X-AC6
R60,R_0201_0603Metric,4.7M
"C32,C34",C_0201_0603Metric,9pF
"C10,C25",C_0201_0603Metric,33uF
"R31,R32",R_0201_0603Metric,5.1k
U2,MP04A,LM3940IMPX-3.3/NOPB
J2,MOLEX_2171790001,2171790001
"J4,J5",PinHeader_1x02_P2.54mm_Vertical,
U3,BGA24C100P5X5_600X800X120,IS25LX512M-JHLE
J10,SHDR10W50P200_2X5_1200X500X660P,DF11-10DP-2DSA_24_
"Q2,Q3",SOT-23-6,DMP2240UDM-7
"C20,C19",C_0201_0603Metric,6pF
Y1,Crystal_SMD_SeikoEpson_MC306-4Pin_8.0x3.2mm,CPFBZ-A2C4-32.768KD6
U4,TSSOP-14_4.4x5mm_P0.65mm,TLV1704
J8,525592052,525592052
U1,BGA196C80P14X14_1200X1200X152,MIMXRT1052CVJ5B
"C42,C35,C6,C12,C18,C1,C9,C28,C37,C41,C15",C_0201_0603Metric,4.7uF
R39,R_0201_0603Metric,30k
"C13,C31,C21,C11,C24,C16,C23,C26",C_0201_0603Metric,0.22uF
"R24,R23",R_0201_0603Metric,4.7k
"C39,C3,C2,C44,C4,C43,C38",C_0201_0603Metric,100nF
"C36,C30",C_0201_0603Metric,22uF
C52,C_0201_0603Metric,0.1uF
L1,L_0201_0603Metric,4.7uH
C40,C_0201_0603Metric,10uF
C5,C_0201_0603Metric,10uF
