"Id;""Designator"";""Footprint"";""Quantity"";""Designation"";""Supplier and ref"";",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1;""JP1"";""SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm"";1;""SolderJumper_2_Open"";;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2;""C49",C45,C50,C47,"C51"";""C_0201_0603Metric"";5;""10u"";;;",,,,,,,,,,,,,,,,,,,,,,,,,
"3;""R62",R61,R57,R59,R58,"R55"";""R_0201_0603Metric"";6;""100k"";;;",,,,,,,,,,,,,,,,,,,,,,,,
"4;""R51",R3,R34,R13,R6,R42,R52,R47,R43,R8,R41,R1,R14,R66,R38,R12,R5,R65,R35,R9,R4,R7,R11,R45,R33,R46,R40,R10,R2,"R44"";""R_0201_0603Metric"";30;""10k"";;;"
"5;""C48","C46"";""C_0201_0603Metric"";2;""100nf"";;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6;""R25",R17,R27,R15,R26,R63,R28,R18,R54,R21,R22,R64,R36,R19,R16,R56,"R20"";""R_0201_0603Metric"";17;""1k"";;;",,,,,,,,,,,,,
"7;""TP7",TP5,TP8,"TP6"";""TestPoint_Loop_D1.80mm_Drill1.0mm_Beaded"";4;""TestPoint"";;;",,,,,,,,,,,,,,,,,,,,,,,,,,
"8;""C7"";""C_0201_0603Metric"";1;""0.47uF"";;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9;""J6",J11,J7,"J3"";""PinHeader_1x04_P2.54mm_Vertical"";4;""Conn_01x04_Socket"";;;",,,,,,,,,,,,,,,,,,,,,,,,,,
"10;""IC1"";""BGA54C80P9X9_800X800X100"";1;""MT48LC16M16A2B4-6A_IT_G_TR"";;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"11;""D1"";""SOT-143"";1;""PRTR5V0U2X"";;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"12;""D3"";""LED_0603_1608Metric"";1;""GREEN"";;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"13;""Q1"";""FDMQ8203"";1;""FDMQ86530L"";;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14;""J9"";""PinHeader_1x03_P2.54mm_Vertical"";1;""Conn_01x03_Socket"";;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15;""SW2",SW3,"SW1"";""SW_DIP_SPSTx04_Slide_Copal_CHS-04A_W5.08mm_P1.27mm_JPin"";3;""SW_DIP_x04"";;;",,,,,,,,,,,,,,,,,,,,,,,,,,,
"16;""R48",R50,"R49"";""R_0201_0603Metric"";3;""3.0k"";;;",,,,,,,,,,,,,,,,,,,,,,,,,,,
"17;""U5"";""SOT95P280X145-6N"";1;""AP22652"";;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"18;""D4","D2"";""D_SOD-323"";2;""1N4151WS"";;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"19;""R53","R37"";""R_0201_0603Metric"";2;""47k"";;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"20;""Y2"";""Crystal_SMD_3225-4Pin_3.2x2.5mm"";1;""TSX-3225 24.0000MF15X-AC6"";;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"21;""R60"";""R_0201_0603Metric"";1;""4.7M"";;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"22;""C32","C34"";""C_0201_0603Metric"";2;""9pF"";;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"23;""C10","C25"";""C_0201_0603Metric"";2;""33uF"";;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"24;""R31","R32"";""R_0201_0603Metric"";2;""5.1k"";;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"25;""U2"";""MP04A"";1;""LM3940IMPX-3.3/NOPB"";;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"26;""J2"";""MOLEX_2171790001"";1;""2171790001"";;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"27;""J4","J5"";""PinHeader_1x02_P2.54mm_Vertical"";2;""Conn_01x02_Socket"";;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"28;""U3"";""BGA24C100P5X5_600X800X120"";1;""IS25LX512M-JHLE"";;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"29;""J10"";""SHDR10W50P200_2X5_1200X500X660P"";1;""DF11-10DP-2DSA_24_"";;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"30;""Q2","Q3"";""SOT-23-6"";2;""DMP2240UDM-7"";;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"31;""C20","C19"";""C_0201_0603Metric"";2;""6pF"";;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"32;""Y1"";""Crystal_SMD_SeikoEpson_MC306-4Pin_8.0x3.2mm"";1;""CPFBZ-A2C4-32.768KD6"";;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"33;""U4"";""TSSOP-14_4.4x5mm_P0.65mm"";1;""TLV1704"";;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"34;""J8"";""0525592052"";1;""0525592052"";;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"35;""U1"";""BGA196C80P14X14_1200X1200X152"";1;""MIMXRT1052CVJ5B"";;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"36;""C42",C35,C6,C12,C18,C1,C9,C28,C37,C41,"C15"";""C_0201_0603Metric"";11;""4.7uF"";;;",,,,,,,,,,,,,,,,,,,
"37;""R39"";""R_0201_0603Metric"";1;""30k"";;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"38;""C13",C17,C33,C29,C22,C14,C8,C27,C31,C21,C11,C24,C16,C23,"C26"";""C_0201_0603Metric"";15;""0.22uF"";;;",,,,,,,,,,,,,,,
"39;""R24","R23"";""R_0201_0603Metric"";2;""4.7k"";;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"40;""C39",C3,C2,C44,C4,C43,"C38"";""C_0201_0603Metric"";7;""100nF"";;;",,,,,,,,,,,,,,,,,,,,,,,
"41;""C36","C30"";""C_0201_0603Metric"";2;""22uF"";;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"42;""C52"";""C_0201_0603Metric"";1;""0.1uF"";;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"43;""L1"";""L_0201_0603Metric"";1;""4.7uH"";;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"44;""C40"";""C_0201_0603Metric"";1;""DNP"";;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"45;""C5"";""C_0201_0603Metric"";1;""10uF"";;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
